ID,Semana,Fase,Fechas,Responsable,Titulo,Detalle,Requerimientos,Modulo,Horas,Hito,Estado
B0-01,Bloque 0 — Arranque,Arranque,10–13 sep 2026,José,Crear el repositorio en GitHub,"Repositorio privado llamado menugo, invitar a Alex como colaborador, README con el nombre del proyecto y los dos integrantes, y .gitignore de Node. Terminado cuando Alex confirme que puede hacer push.",,,1,,Por hacer
B0-02,Bloque 0 — Arranque,Arranque,10–13 sep 2026,José,Crear y proteger las ramas base,"Ramas main y develop. Regla en GitHub: nadie hace push directo a main, todo entra por pull request.",,,0.5,,Por hacer
B0-03,Bloque 0 — Arranque,Arranque,10–13 sep 2026,Ambos,Escribir CONTRIBUTING.md con las reglas del equipo,"Convención de nombres de rama (feat/M3-mapa-mesas), formato del mensaje de commit (feat(M3): descripción) y la regla de que todo PR lo revisa el otro antes de fusionar.",,,1,,Por hacer
B0-04,Bloque 0 — Arranque,Arranque,10–13 sep 2026,José,Montar el tablero en GitHub Projects,"Columnas: Por hacer, En curso, En revisión, Hecho. Cargar al menos las tareas del bloque 0 y de la semana 1.",,,1,,Por hacer
B0-05,Bloque 0 — Arranque,Arranque,10–13 sep 2026,Ambos,Fijar el horario de trabajo semanal,"El plan suma unas diecisiete horas semanales por persona, así que hay que reservarlas de verdad: tres bloques de tres horas entre semana y uno de ocho el fin de semana. Escribirlo en el README. Sin horario acordado, el proyecto se atrasa sin que nadie lo note.",,,0.5,,Por hacer
B0-06,Bloque 0 — Arranque,Arranque,10–13 sep 2026,Ambos,Acordar canal de comunicación y cadencia,"Un grupo dedicado solo al proyecto y revisión del tablero cada lunes, quince minutos.",,,0.25,,Por hacer
B0-07,Bloque 0 — Arranque,Arranque,10–13 sep 2026,José,Preparar el entorno de desarrollo,"Node 20 LTS, Docker Desktop, VS Code con ESLint y Prettier. Verificar con node -v y docker -v.",,,1,,Por hacer
B0-08,Bloque 0 — Arranque,Arranque,10–13 sep 2026,Alex,Preparar el entorno de desarrollo,"Node 20 LTS, VS Code con ESLint, Prettier y Tailwind IntelliSense, y cuenta de Figma activa.",,,1,,Por hacer
B0-09,Bloque 0 — Arranque,Arranque,10–13 sep 2026,Alex,Crear el archivo de Figma del proyecto,"Archivo llamado MenúGo, compartido con permiso de edición para ambos.",,,0.5,,Por hacer
B0-10,Bloque 0 — Arranque,Arranque,10–13 sep 2026,José,Abrir las cuentas de servicios externos,"Cloudinary en capa gratuita y Render o Railway. Guardar las credenciales en un gestor de contraseñas; nunca en el repositorio.",,,0.5,,Por hacer
B0-11,Bloque 0 — Arranque,Arranque,10–13 sep 2026,Ambos,Redactar la guía de entrevista,"Entre doce y quince preguntas abiertas sobre cómo atienden hoy, dónde se les pierden los pedidos y qué es lo que más les molesta del proceso. Es la tarea con mejor retorno de todo el bloque: la rúbrica premia el problema justificado con una necesidad real.",,,1.5,,Por hacer
B0-12,Bloque 0 — Arranque,Arranque,10–13 sep 2026,Ambos,Contactar cuatro restaurantes de Santa Ana,"La meta es conseguir dos entrevistas para la semana 1. Se contactan cuatro para asegurar dos, tal como se documentó en el riesgo R-04.",,,1,,Por hacer
S1-01,Semana 1 — Análisis,Análisis,14–20 sep 2026,Ambos,Realizar la primera entrevista,"Grabar con permiso, tomar nota del flujo real y pedir ver una comanda de papel y la carta impresa. Fotografiarlas: son evidencia para el documento.",,,2,,Por hacer
S1-02,Semana 1 — Análisis,Análisis,14–20 sep 2026,Ambos,Realizar la segunda entrevista,"Mismo guion. Comparar diferencias entre los dos negocios; ahí aparecen los requerimientos que no se habían pensado.",,,2,,Por hacer
S1-03,Semana 1 — Análisis,Análisis,14–20 sep 2026,Alex,Plan B: observación directa en tres locales,Solo si no se consiguen las dos entrevistas. Ir como cliente y documentar el flujo observado con tiempos medidos.,,,3,,Por hacer
S1-04,Semana 1 — Análisis,Análisis,14–20 sep 2026,José,Consolidar los hallazgos en un documento,"Flujo real observado, dolores citados textualmente y qué requerimientos hay que ajustar. Va como anexo del Entregable 2.",,,2,,Por hacer
S1-05,Semana 1 — Análisis,Análisis,14–20 sep 2026,José,Diseñar el modelo entidad-relación completo,"Trece entidades: usuario, mesa, sesion_mesa, categoria, platillo, precio_historico, pedido, pedido_linea, cuenta, cuenta_division, pago, corte_caja y bitacora. Con cardinalidades y claves definidas.",,,4,,Por hacer
S1-06,Semana 1 — Análisis,Análisis,14–20 sep 2026,José,Escribir el diccionario de datos,"Por cada tabla: campo, tipo, si admite nulo, valor por defecto, descripción y la regla de negocio cuando aplique.",,,2.5,,Por hacer
S1-07,Semana 1 — Análisis,Análisis,14–20 sep 2026,José,Definir la máquina de estados de la línea de pedido,"pendiente → en_preparacion → listo → entregado, más anulada. Documentar qué transiciones son válidas y qué rol puede ejecutarlas. Esta es la pieza que le da complejidad real al proyecto.",RF-19,M5,1.5,,Por hacer
S1-08,Semana 1 — Análisis,Análisis,14–20 sep 2026,José,Definir la máquina de estados de la sesión de mesa,libre → ocupada → pedido_en_curso → pendiente_cobro → libre.,RF-11,M3,1,,Por hacer
S1-09,Semana 1 — Análisis,Análisis,14–20 sep 2026,José,Revisar los 30 RF contra lo que dijeron los entrevistados,"Marcar cuáles se confirman, cuáles cambian y cuáles sobran. Documentar cada cambio con su justificación.",,,1.5,,Por hacer
S1-10,Semana 1 — Análisis,Análisis,14–20 sep 2026,Alex,Cerrar el inventario de pantallas,"Lista definitiva: login, administración de categorías, de platillos y de mesas, carta pública, mapa de salón, toma de pedido, pantalla de cocina, cobro, corte de caja y reportes. Once vistas.",,,1,,Por hacer
S1-11,Semana 1 — Análisis,Análisis,14–20 sep 2026,Alex,Wireframes de baja fidelidad de las once pantallas,"En Figma, sin color: solo estructura y jerarquía. El objetivo es discutir la disposición, no el aspecto.",,,5,,Por hacer
S1-12,Semana 1 — Análisis,Análisis,14–20 sep 2026,Alex,Definir el sistema de diseño,"Paleta, escala tipográfica, escala de espaciado (4/8/12/16/24/32), radios y sombras. Guardado como estilos de Figma para reutilizarlos.",,,2,,Por hacer
S1-13,Semana 1 — Análisis,Análisis,14–20 sep 2026,Alex,Diseñar los componentes base en Figma,"Botón con tres variantes, campo de texto, tarjeta, modal, tabla, etiqueta de estado y aviso.",,,3,,Por hacer
S1-14,Semana 1 — Análisis,Análisis,14–20 sep 2026,Alex,Armar el prototipo navegable del flujo principal,Abrir mesa → carta → pedido → cocina → cobro. Sirve para validar el recorrido antes de escribir una línea de código.,,,2,,Por hacer
S1-15,Semana 1 — Análisis,Análisis,14–20 sep 2026,Ambos,Revisión conjunta del modelo y los wireframes,Sesión de dos horas el viernes. Cada uno explica su parte y el otro busca huecos. Salir de ahí con el modelo de datos congelado.,,,2,,Por hacer
S2-01,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,José,Estructurar el repositorio en dos carpetas,"Una carpeta api y una carpeta web, cada una con su README y su package.json.",,,1,,Por hacer
S2-02,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,José,Escribir el docker-compose con PostgreSQL 16,Con volumen persistente y un .env.example versionado. Terminado cuando ambos levanten la base de datos con un solo comando.,RNF-12,,1.5,,Por hacer
S2-03,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,José,Inicializar el API con Express y estructura por capas,"Carpetas routes, controllers, services, repositories y middlewares. La separación es explícita porque el RNF-09 la exige.",RNF-09,,2,,Por hacer
S2-04,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,José,Escribir el schema.prisma con las trece entidades,Traducción directa del modelo entidad-relación aprobado el viernes anterior. Sin inventar campos sobre la marcha.,,,3,,Por hacer
S2-05,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,José,Generar y verificar la primera migración,Ejecutar prisma migrate dev y revisar el SQL generado antes de darlo por bueno.,,,1,,Por hacer
S2-06,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,José,Escribir el script de datos de prueba,"Un restaurante ficticio de Santa Ana: cuatro usuarios (uno por rol), ocho mesas, cinco categorías y veinticinco platillos con precios creíbles. Estos datos se usarán en toda la demostración, así que vale la pena que sean realistas.",,,2.5,,Por hacer
S2-07,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,José,Middleware de manejo de errores y validación con Zod,Todas las respuestas de error con el mismo formato. Evita que cada endpoint invente el suyo.,,,2,,Por hacer
S2-08,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,José,Login con correo y contraseña,"Hash con bcrypt y emisión de JWT. La contraseña nunca se guarda en texto plano, en ningún caso.",RF-28 RNF-06,M8,2.5,,Por hacer
S2-09,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,José,Middleware de autorización por rol,"Cuatro roles: administrador, mesero, cocinero y cajero. Cada endpoint declara qué roles lo pueden llamar.",RF-29,M8,2,,Por hacer
S2-10,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,José,Servicio de bitácora reutilizable,"Registra usuario, acción, entidad, identificador y fecha. Se invocará desde las anulaciones, los cambios de precio y los cortes de caja.",RF-30,M8,1.5,,Por hacer
S2-11,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,José,Crear la colección de Postman con la carpeta de autenticación,"Con variable de entorno para el token, para no pegarlo a mano en cada petición.",,,1,,Por hacer
S2-12,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,Alex,"Inicializar el frontend con Vite, React y Tailwind",Con alias de importación configurados y la estructura de carpetas acordada.,,,1.5,,Por hacer
S2-13,Semana 2 — Diseño y base,Diseño,21–27 sep 2026,Alex,Trasladar el sistema de diseño a tailwind.config.js,"Colores, fuentes y espaciados como tokens. Ningún componente debe llevar valores sueltos.",,,1.5,,Por hacer
